Month,Max Temperature (max),Max Temperature (avg),Max Temperature (min),Avg Temperature (max),Avg Temperature (avg),Avg Temperature (min),Min Temperature (max),Min Temperature (avg),Min Temperature (min),Dew Point (max),Dew Point (avg),Dew Point (min),Precipitation (max),Precipitation (avg),Precipitation (min),Snowdepth (max),Snowdepth (avg),Snowdepth (min),Wind (max),Wind (avg),Wind (min),Gust Wind (max),Gust Wind (avg),Gust Wind (min),Sea Level Pressure (max),Sea Level Pressure (avg),Sea Level Pressure (min)
2000-01,80.0,66.84,55.0,64.96,56.35,47.36,59.0,47.58,36.0,59.0,38.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.25,0.0,29.0,0.61,0.0,29.51,29.27,29.13
2000-02,79.0,63.42,49.0,63.71,55.72,47.22,56.0,48.75,42.0,58.0,43.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,5.38,0.0,43.0,1.29,0.0,29.42,29.24,28.93
2000-03,83.0,68.16,52.0,69.85,57.36,46.23,54.0,48.35,38.0,54.0,41.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,5.67,0.0,44.0,1.66,0.0,29.41,29.14,28.69
2000-04,91.0,74.37,57.0,72.54,63.17,53.42,62.0,51.47,0.0,58.0,46.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.11,0.0,31.0,0.8,0.0,29.31,29.14,29.01
2000-05,94.0,78.0,66.0,77.92,67.21,58.12,65.0,58.26,50.0,65.0,51.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.21,0.0,28.0,0.55,0.0,29.2,29.06,28.93
2000-06,91.0,83.33,76.0,79.46,71.32,62.12,69.0,57.29,0.0,72.0,58.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.57,0.0,20.0,0.14,0.0,29.18,29.03,28.84
2000-07,98.0,85.26,76.0,82.5,71.85,56.38,69.0,60.52,0.0,65.0,56.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.07,0.0,21.0,0.14,0.0,29.24,29.08,28.93
2000-08,99.0,87.0,67.0,82.56,75.38,65.0,73.0,66.71,63.0,69.0,56.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.38,0.0,0.0,0.0,0.0,29.17,29.04,28.94
2000-09,103.0,84.6,66.0,85.25,71.75,63.97,69.0,61.5,55.0,66.0,54.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.74,0.0,22.0,0.12,0.0,29.23,29.03,28.84
2000-10,118.0,73.81,59.0,68.63,62.42,53.8,63.0,54.9,45.0,63.0,51.31,28.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.49,0.0,28.0,0.27,0.0,29.34,29.1,28.83
2000-11,78.0,68.47,59.0,65.54,56.2,48.33,56.0,45.03,37.0,55.0,35.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.19,0.0,32.0,0.66,0.0,29.44,29.18,28.85
2000-12,80.0,70.45,59.0,65.96,56.44,48.86,56.0,41.26,0.0,55.0,34.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.16,0.0,36.0,0.57,0.0,29.45,29.21,0.0
2001-01,80.0,62.68,49.0,62.0,51.92,43.32,49.0,39.55,0.0,52.0,33.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.9,0.0,41.0,1.42,0.0,29.46,29.24,28.94
2001-02,85.0,60.04,49.0,69.83,51.81,44.48,55.0,44.32,37.0,53.0,41.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,5.57,0.0,38.0,0.68,0.0,29.45,29.18,28.65
2001-03,87.0,67.52,56.0,71.0,57.62,50.92,57.0,50.19,40.0,58.0,49.68,36.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.41,0.0,28.0,0.29,0.0,29.34,29.13,28.91
2001-04,91.0,67.93,55.0,75.33,57.82,49.0,57.0,47.67,0.0,62.0,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,6.13,0.0,30.0,0.58,0.0,29.37,29.14,28.97
2001-05,93.0,78.45,68.0,76.42,66.84,60.46,63.0,58.74,52.0,65.0,55.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.85,0.0,29.0,0.35,0.0,29.23,29.07,28.93
2001-06,93.0,83.57,68.0,79.08,70.95,56.21,67.0,59.77,0.0,69.0,55.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.11,0.0,22.0,0.17,0.0,29.24,29.06,28.9
2001-07,94.0,83.23,75.0,80.92,71.16,66.42,72.0,62.55,57.0,75.0,61.51,46.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.59,0.0,20.0,0.18,0.0,29.23,29.08,28.93
